Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6183.240s
Overall CPU runtime: 6180.191s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/ALG005-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 60.002
path = inputs/easy100/LAT001-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.011
path = inputs/easy100/LAT005-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.073, cpuRuntime = 60.063
path = inputs/easy100/NLP004-1.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.093, cpuRuntime = 60.029
path = inputs/easy100/KLE090-10.p, config = {solver = BadProver, disable_subsumption = True}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '0\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.957
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.070, cpuRuntime = 60.059
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.036, cpuRuntime = 59.976
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.027, cpuRuntime = 60.024
path = inputs/easy100/NLP007-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.983
path = inputs/easy100/LCL002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.018, cpuRuntime = 60.014
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.003
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.024
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.033, cpuRuntime = 60.027
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.047, cpuRuntime = 60.041
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.020
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.054, cpuRuntime = 60.048
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.027, cpuRuntime = 60.021
path = inputs/easy100/COL002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.027, cpuRuntime = 60.022
path = inputs/easy100/RNG001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.054, cpuRuntime = 60.016
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 60.005
path = inputs/easy100/ROB003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.968
path = inputs/easy100/MGT001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.062, cpuRuntime = 60.053
path = inputs/easy100/ANA003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.039, cpuRuntime = 60.034
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.058, cpuRuntime = 60.052
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.970
path = inputs/easy100/COL001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 60.007
path = inputs/easy100/LAT002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.017, cpuRuntime = 60.012
path = inputs/easy100/CAT001-4.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.023
path = inputs/easy100/HWV001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 60.005
path = inputs/easy100/HWV003-2.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 60.005
path = inputs/easy100/GEO001-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.040, cpuRuntime = 60.034
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.003
path = inputs/easy100/ANA002-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.043, cpuRuntime = 60.036
path = inputs/easy100/HWV003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.003
path = inputs/easy100/SCT004-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.033, cpuRuntime = 60.028
path = inputs/easy100/CAT001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.055, cpuRuntime = 60.049
path = inputs/easy100/CSR034-10.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 60.001
path = inputs/easy100/BOO002-2.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.003
path = inputs/easy100/CAT001-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.034, cpuRuntime = 60.025
path = inputs/easy100/SYO038-1.003.004.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.001
path = inputs/easy100/KLE084-10.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 60.001
path = inputs/easy100/SYO038-1.003.003.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 60.001
path = inputs/easy100/RNG001-2.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.041, cpuRuntime = 60.033
path = inputs/easy100/ANA002-4.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.059, cpuRuntime = 60.049
path = inputs/easy100/FLD002-3.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.037, cpuRuntime = 60.030
path = inputs/easy100/BOO002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.002
path = inputs/easy100/LCL003-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.025
path = inputs/easy100/ALG005-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 60.002
path = inputs/easy100/LAT001-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.018, cpuRuntime = 60.013
path = inputs/easy100/LAT005-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.059, cpuRuntime = 60.050
path = inputs/easy100/NLP004-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 59.977
path = inputs/easy100/KLE090-10.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 60.003

Solved and correctly classified instances (sorted in descending CPU runtime order):
path = inputs/easy100/LDA002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNSAT, returnCode = 20, stdout = '1\n1\nc UNSATISFIABLE\n', stderr = '', realRuntime = 52.227, cpuRuntime = 52.222
path = inputs/easy100/SWV002-1.p, config = {solver = BadProver, disable_subsumption = False}, target = Target.UNSAT, result = Result.UNSAT, returnCode = 20, stdout = '1\n1\nc UNSATISFIABLE\n', stderr = '', realRuntime = 52.217, cpuRuntime = 52.210
