Number of runs: 200
Individual solver timeout after: 60s
Overall real runtime: 6205.398s
Overall CPU runtime: 6203.069s
Crashes: 4
Solved but misclassified instances: 0
Undecided instances: 95
Solved and correctly classified instances: 101

Crashed instances:
path = inputs/easy100/HWC003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 60.004
path = inputs/easy100/SWC002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.024
path = inputs/easy100/SCT002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.028, cpuRuntime = 60.023
path = inputs/easy100/GRP001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.053, cpuRuntime = 60.036
path = inputs/easy100/SWC001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.001
path = inputs/easy100/FLD003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.060, cpuRuntime = 60.022
path = inputs/easy100/HWC002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 59.992
path = inputs/easy100/COL002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 59.995
path = inputs/easy100/RNG001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.056, cpuRuntime = 60.004
path = inputs/easy100/COL001-2.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.983
path = inputs/easy100/ROB003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.975
path = inputs/easy100/MGT001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.061, cpuRuntime = 60.015
path = inputs/easy100/ANA003-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.040, cpuRuntime = 60.036
path = inputs/easy100/RNG001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.058, cpuRuntime = 60.046
path = inputs/easy100/ROB004-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 60.002
path = inputs/easy100/COL001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.994
path = inputs/easy100/LAT002-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.015, cpuRuntime = 59.997
path = inputs/easy100/CAT001-4.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.020
path = inputs/easy100/HWV001-1.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 60.007
path = inputs/easy100/HWV003-2.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 60.004
path = inputs/easy100/GEO001-3.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.042, cpuRuntime = 60.023
path = inputs/easy100/KLE044-10.p, config = {solver = BadProver, disable_feature_vector_indexing = False}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = '1\n1\nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.998
