Number of runs: 300
Individual solver timeout after: 60s
Overall real runtime: 9381.603s
Overall CPU runtime: 9360.442s
Crashes: 22
Solved but misclassified instances: 0
Undecided instances: 129
Solved and correctly classified instances: 149

Crashed instances:
path = inputs/easy100/SYO038-1.003.003.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.994
path = inputs/easy100/RNG001-2.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.043, cpuRuntime = 60.004
path = inputs/easy100/ANA002-4.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.062, cpuRuntime = 59.982
path = inputs/easy100/FLD002-3.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.039, cpuRuntime = 59.957
path = inputs/easy100/BOO002-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 59.922
path = inputs/easy100/LCL003-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.032, cpuRuntime = 59.992
path = inputs/easy100/ALG005-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.006, cpuRuntime = 59.974
path = inputs/easy100/LAT001-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.018, cpuRuntime = 59.985
path = inputs/easy100/LAT005-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.066, cpuRuntime = 60.059
path = inputs/easy100/NLP004-1.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.895
path = inputs/easy100/KLE090-10.p, config = {solver = BadProver, demodulation_index = tree}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.008, cpuRuntime = 59.969
path = inputs/easy100/ALG004-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.108, cpuRuntime = 60.030
path = inputs/easy100/FLD001-3.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.024, cpuRuntime = 59.922
path = inputs/easy100/LCL004-1.p, config = {solver = BadProver, demodulation_index = none}, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'c UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.008
