Number of runs: 73
Individual solver timeout after: 60s
Overall real runtime: 4322.005s
Overall CPU runtime: 4320.687s
Crashes: 0
Solved but misclassified instances: 0
Undecided instances: 72
Solved and correctly classified instances: 1

Undecided instances (out of time or other constrained resources):
path = inputs/CASC17/NNE/SET013-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.010, cpuRuntime = 60.007
path = inputs/CASC17/NNE/SET014-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.015, cpuRuntime = 60.010
path = inputs/CASC17/NNE/COM003-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.055, cpuRuntime = 60.003
path = inputs/CASC17/NNE/SYN067-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.030, cpuRuntime = 60.008
path = inputs/CASC17/NNE/ANA002-3.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.016, cpuRuntime = 60.000
path = inputs/CASC17/NNE/SET015-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.014, cpuRuntime = 59.998
path = inputs/CASC17/NNE/SYN067-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.047, cpuRuntime = 60.022
path = inputs/CASC17/NNE/ANA002-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.021, cpuRuntime = 60.000
path = inputs/CASC17/NNE/SET012-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.012, cpuRuntime = 59.991
path = inputs/CASC17/NNE/ANA002-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.029, cpuRuntime = 60.008
path = inputs/CASC17/NNE/ANA002-4.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.039, cpuRuntime = 60.025
path = inputs/CASC17/NNE/SET015-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 60.004
path = inputs/CASC17/PEQ/ALG004-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.095, cpuRuntime = 60.072
path = inputs/CASC17/PEQ/GRP053-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 60.004
path = inputs/CASC17/PEQ/GRP055-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.009, cpuRuntime = 59.998
path = inputs/CASC17/PEQ/GRP072-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.007, cpuRuntime = 60.004
path = inputs/CASC17/PEQ/CAT003-2.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.019, cpuRuntime = 59.986
path = inputs/CASC17/PEQ/GRP086-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.005, cpuRuntime = 59.993
path = inputs/CASC17/PEQ/GRP051-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.989
path = inputs/CASC17/PEQ/COL075-1.p, target = Target.UNSAT, result = Result.UNKNOWN, returnCode = 0, stdout = 'Test nix, clang and cmake \nc UNKNOWN\nTimeout reached\n', stderr = '', realRuntime = 60.011, cpuRuntime = 59.972
